Energy,Spin
0.0,3.041920137913088
0.22192568388340508,3.0314637175789736
0.22195410027581428,3.031464232573784
2.0742884946175115,4.733481596002606
2.4201591050452227,3.170132444596158
2.724537999901947,3.181913449006285
2.7245507517819343,3.1819273047642973
2.8507857504019545,3.0498688919018737
2.8877590159756523,3.044459611000382
2.8878102322604366,3.0444756130192734
3.1307179226184547,3.1838440425170695
3.431434374563407,3.1823661596048156
3.431510266237604,3.182354479912453
5.312911207807495,3.0477535718137765
6.02139665791926,3.1837504623251522
6.021471975671775,3.183738318178873
